comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha
stable,1,6.812920690579608e-5,0.5416666666666666,0.1,0
stable,1,6.812920690579608e-5,0.5833333333333333,0,3.1
stable,1,6.812920690579608e-5,0.5833333333333333,0.05,0
stable,1,6.812920690579608e-5,0.5833333333333333,0.1,0
stable,1,6.812920690579608e-5,0.625,0,3.28
stable,1,6.812920690579608e-5,0.625,0.05,0
stable,1,6.812920690579608e-5,0.625,0.1,0
stable,1,6.812920690579608e-5,0.6666666666666666,0,3.24
stable,1,6.812920690579608e-5,0.6666666666666666,0.05,0
stable,1,6.812920690579608e-5,0.6666666666666666,0.1,0
stable,1,6.812920690579608e-5,0.7083333333333333,0,3.35
stable,1,6.812920690579608e-5,0.7083333333333333,0.05,0
stable,1,6.812920690579608e-5,0.7083333333333333,0.1,0
stable,1,6.812920690579608e-5,0.75,0,3.19
stable,1,6.812920690579608e-5,0.75,0.05,0
stable,1,6.812920690579608e-5,0.75,0.1,0
stable,1,6.812920690579608e-5,0.7916666666666666,0,3.06
stable,1,6.812920690579608e-5,0.7916666666666666,0.05,0
stable,1,6.812920690579608e-5,0.7916666666666666,0.1,0
stable,1,6.812920690579608e-5,0.8333333333333333,0,3.14
stable,1,6.812920690579608e-5,0.8333333333333333,0.05,0
stable,1,6.812920690579608e-5,0.8333333333333333,0.1,0
stable,1,6.812920690579608e-5,0.875,0,3.08
stable,1,6.812920690579608e-5,0.875,0.05,0
stable,1,6.812920690579608e-5,0.875,0.1,0
stable,1,6.812920690579608e-5,0.9166666666666666,0,3.09
stable,1,6.812920690579608e-5,0.9166666666666666,0.05,0
stable,1,6.812920690579608e-5,0.9166666666666666,0.1,0
stable,1,6.812920690579608e-5,0.9583333333333333,0,3.1
stable,1,6.812920690579608e-5,0.9583333333333333,0.05,0
stable,1,6.812920690579608e-5,0.9583333333333333,0.1,0
stable,1,6.812920690579608e-5,1,0,3.15
stable,1,6.812920690579608e-5,1,0.05,0
stable,1,6.812920690579608e-5,1,0.1,0
stable,1,1.1006941712522103e-4,0,0,4.21
stable,1,1.1006941712522103e-4,0,0.05,0
stable,1,1.1006941712522103e-4,0,0.1,0
stable,1,1.1006941712522103e-4,0.041666666666666664,0,4.16
stable,1,1.1006941712522103e-4,0.041666666666666664,0.05,0
stable,1,1.1006941712522103e-4,0.041666666666666664,0.1,0
stable,1,1.1006941712522103e-4,0.08333333333333333,0,4
stable,1,1.1006941712522103e-4,0.08333333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.08333333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.125,0,3.91
stable,1,1.1006941712522103e-4,0.125,0.05,0
stable,1,1.1006941712522103e-4,0.125,0.1,0
stable,1,1.1006941712522103e-4,0.16666666666666666,0,3.99
stable,1,1.1006941712522103e-4,0.16666666666666666,0.05,0
stable,1,1.1006941712522103e-4,0.16666666666666666,0.1,0
stable,1,1.1006941712522103e-4,0.20833333333333331,0,3.62
stable,1,1.1006941712522103e-4,0.20833333333333331,0.05,0
stable,1,1.1006941712522103e-4,0.20833333333333331,0.1,0
stable,1,1.1006941712522103e-4,0.25,0,3.46
stable,1,1.1006941712522103e-4,0.25,0.05,0
stable,1,1.1006941712522103e-4,0.25,0.1,0
stable,1,1.1006941712522103e-4,0.29166666666666663,0,3.59
stable,1,1.1006941712522103e-4,0.29166666666666663,0.05,0
stable,1,1.1006941712522103e-4,0.29166666666666663,0.1,0
stable,1,1.1006941712522103e-4,0.3333333333333333,0,3.46
stable,1,1.1006941712522103e-4,0.3333333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.3333333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.375,0,3.38
stable,1,1.1006941712522103e-4,0.375,0.05,0
stable,1,1.1006941712522103e-4,0.375,0.1,0
stable,1,1.1006941712522103e-4,0.41666666666666663,0,3.37
stable,1,1.1006941712522103e-4,0.41666666666666663,0.05,0
stable,1,1.1006941712522103e-4,0.41666666666666663,0.1,0
stable,1,1.1006941712522103e-4,0.4583333333333333,0,3.39
stable,1,1.1006941712522103e-4,0.4583333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.4583333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.5,0,3.18
stable,1,1.1006941712522103e-4,0.5,0.05,0
stable,1,1.1006941712522103e-4,0.5,0.1,0
stable,1,1.1006941712522103e-4,0.5416666666666666,0,3.21
stable,1,1.1006941712522103e-4,0.5416666666666666,0.05,0
stable,1,1.1006941712522103e-4,0.5416666666666666,0.1,0
stable,1,1.1006941712522103e-4,0.5833333333333333,0,3.24
stable,1,1.1006941712522103e-4,0.5833333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.5833333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.625,0,3.16
stable,1,1.1006941712522103e-4,0.625,0.05,0
stable,1,1.1006941712522103e-4,0.625,0.1,0
stable,1,1.1006941712522103e-4,0.6666666666666666,0,3.22
stable,1,1.1006941712522103e-4,0.6666666666666666,0.05,0
stable,1,1.1006941712522103e-4,0.6666666666666666,0.1,0
stable,1,1.1006941712522103e-4,0.7083333333333333,0,3.19
stable,1,1.1006941712522103e-4,0.7083333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.7083333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.75,0,3.16
stable,1,1.1006941712522103e-4,0.75,0.05,0
stable,1,1.1006941712522103e-4,0.75,0.1,0
stable,1,1.1006941712522103e-4,0.7916666666666666,0,3.07
stable,1,1.1006941712522103e-4,0.7916666666666666,0.05,0
stable,1,1.1006941712522103e-4,0.7916666666666666,0.1,0
stable,1,1.1006941712522103e-4,0.8333333333333333,0,3.2
stable,1,1.1006941712522103e-4,0.8333333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.8333333333333333,0.1,0
stable,1,1.1006941712522103e-4,0.875,0,3.01
stable,1,1.1006941712522103e-4,0.875,0.05,0
stable,1,1.1006941712522103e-4,0.875,0.1,0
stable,1,1.1006941712522103e-4,0.9166666666666666,0,3.22
stable,1,1.1006941712522103e-4,0.9166666666666666,0.05,0
stable,1,1.1006941712522103e-4,0.9166666666666666,0.1,0
stable,1,1.1006941712522103e-4,0.9583333333333333,0,3.01
stable,1,1.1006941712522103e-4,0.9583333333333333,0.05,0
stable,1,1.1006941712522103e-4,0.9583333333333333,0.1,0
stable,1,1.1006941712522103e-4,1,0,3.07
stable,1,1.1006941712522103e-4,1,0.05,0
stable,1,1.1006941712522103e-4,1,0.1,0
stable,1,1.7782794100389227e-4,0,0,4.35
stable,1,1.7782794100389227e-4,0,0.05,0
stable,1,1.7782794100389227e-4,0,0.1,0
stable,1,1.7782794100389227e-4,0.041666666666666664,0,4.2
stable,1,1.7782794100389227e-4,0.041666666666666664,0.05,0
stable,1,1.7782794100389227e-4,0.041666666666666664,0.1,0
stable,1,1.7782794100389227e-4,0.08333333333333333,0,4.36
stable,1,1.7782794100389227e-4,0.08333333333333333,0.05,0
stable,1,1.7782794100389227e-4,0.08333333333333333,0.1,0
stable,1,1.7782794100389227e-4,0.125,0,4.11
stable,1,1.7782794100389227e-4,0.125,0.05,0
stable,1,1.7782794100389227e-4,0.125,0.1,0
stable,1,1.7782794100389227e-4,0.16666666666666666,0,3.96
stable,1,1.7782794100389227e-4,0.16666666666666666,0.05,0
stable,1,1.7782794100389227e-4,0.16666666666666666,0.1,0
stable,1,1.7782794100389227e-4,0.20833333333333331,0,3.79
stable,1,1.7782794100389227e-4,0.20833333333333331,0.05,0
stable,1,1.7782794100389227e-4,0.20833333333333331,0.1,0
stable,1,1.7782794100389227e-4,0.25,0,3.75
stable,1,1.7782794100389227e-4,0.25,0.05,0
stable,1,1.7782794100389227e-4,0.25,0.1,0
stable,1,1.7782794100389227e-4,0.29166666666666663,0,3.6
stable,1,1.7782794100389227e-4,0.29166666666666663,0.05,0
stable,1,1.7782794100389227e-4,0.29166666666666663,0.1,0
stable,1,1.7782794100389227e-4,0.3333333333333333,0,3.42
stable,1,1.7782794100389227e-4,0.3333333333333333,0.05,0
stable,1,1.7782794100389227e-4,0.3333333333333333,0.1,0
stable,1,1.7782794100389227e-4,0.375,0,3.5
stable,1,1.7782794100389227e-4,0.375,0.05,0
stable,1,1.7782794100389227e-4,0.375,0.1,0
stable,1,1.7782794100389227e-4,0.41666666666666663,0,3.47
stable,1,1.7782794100389227e-4,0.41666666666666663,0.05,0
