comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,2.6101572156825386e-5,0.8333333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.8333333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.8333333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.8333333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.875,0,1,24,24
equal,1,2.6101572156825386e-5,0.875,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.875,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.875,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.875,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.9166666666666666,0,1,25,25
equal,1,2.6101572156825386e-5,0.9166666666666666,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.9166666666666666,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.9166666666666666,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.9166666666666666,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.9583333333333333,0,1,24,24
equal,1,2.6101572156825386e-5,0.9583333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.9583333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.9583333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.9583333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,1,0,1,23,23
equal,1,2.6101572156825386e-5,1,0.025,0,0,0
equal,1,2.6101572156825386e-5,1,0.05,0,0,0
equal,1,2.6101572156825386e-5,1,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,1,0.1,0,0,0
equal,1,4.216965034285822e-5,0,0,1.05,22,20.952380952380953
equal,1,4.216965034285822e-5,0,0.025,0,0,0
equal,1,4.216965034285822e-5,0,0.05,0,0,0
equal,1,4.216965034285822e-5,0,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0,0.1,0,0,0
equal,1,4.216965034285822e-5,0.041666666666666664,0,1,19,19
equal,1,4.216965034285822e-5,0.041666666666666664,0.025,0,0,0
equal,1,4.216965034285822e-5,0.041666666666666664,0.05,0,0,0
equal,1,4.216965034285822e-5,0.041666666666666664,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.041666666666666664,0.1,0,0,0
equal,1,4.216965034285822e-5,0.08333333333333333,0,1.01,18,17.821782178217823
equal,1,4.216965034285822e-5,0.08333333333333333,0.025,0,0,0
equal,1,4.216965034285822e-5,0.08333333333333333,0.05,0,0,0
equal,1,4.216965034285822e-5,0.08333333333333333,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.08333333333333333,0.1,0,0,0
equal,1,4.216965034285822e-5,0.125,0,1.04,21,20.19230769230769
equal,1,4.216965034285822e-5,0.125,0.025,0,0,0
equal,1,4.216965034285822e-5,0.125,0.05,0,0,0
equal,1,4.216965034285822e-5,0.125,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.125,0.1,0,0,0
equal,1,4.216965034285822e-5,0.16666666666666666,0,1.03,20,19.41747572815534
equal,1,4.216965034285822e-5,0.16666666666666666,0.025,0,0,0
equal,1,4.216965034285822e-5,0.16666666666666666,0.05,0,0,0
equal,1,4.216965034285822e-5,0.16666666666666666,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.16666666666666666,0.1,0,0,0
equal,1,4.216965034285822e-5,0.20833333333333331,0,1.01,20,19.801980198019802
equal,1,4.216965034285822e-5,0.20833333333333331,0.025,0,0,0
equal,1,4.216965034285822e-5,0.20833333333333331,0.05,0,0,0
equal,1,4.216965034285822e-5,0.20833333333333331,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.20833333333333331,0.1,0,0,0
equal,1,4.216965034285822e-5,0.25,0,1.03,24,23.300970873786408
equal,1,4.216965034285822e-5,0.25,0.025,0,0,0
equal,1,4.216965034285822e-5,0.25,0.05,0,0,0
equal,1,4.216965034285822e-5,0.25,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.25,0.1,0,0,0
equal,1,4.216965034285822e-5,0.29166666666666663,0,1.01,21,20.792079207920793
equal,1,4.216965034285822e-5,0.29166666666666663,0.025,0,0,0
equal,1,4.216965034285822e-5,0.29166666666666663,0.05,0,0,0
equal,1,4.216965034285822e-5,0.29166666666666663,0.07500000000000001,0,0,0
equal,1,4.216965034285822e-5,0.29166666666666663,0.1,0,0,0
equal,1,4.216965034285822e-5,0.3333333333333333,0,1,23,23
